순번,소관구분,기관명,총구매액,녹색구매액,구매비율
1,교육자치단체,서울특별시교육청,59079175,35357829,59.8%
2,교육자치단체,서울특별시동부교육지원청,7970754,4687896,58.8%
3,교육자치단체,서울특별시서부교육지원청,13796399,9238532,67.0%
4,교육자치단체,서울특별시남부교육지원청,33270266,27686790,83.2%
5,교육자치단체,서울특별시북부교육지원청,14307456,10300960,72.0%
6,교육자치단체,서울특별시중부교육지원청,5857662,4003676,68.3%
7,교육자치단체,서울특별시강서양천교육지원청,17702641,13140081,74.2%
8,교육자치단체,서울특별시강남서초교육지원청,13409484,9915472,73.9%
9,교육자치단체,서울특별시성북강북교육지원청,8458957,5835186,69.0%
10,교육자치단체,서울특별시강동송파교육지원청,20918470,14734740,70.4%
11,교육자치단체,서울특별시동작관악교육지원청,11015613,8292017,75.3%
12,교육자치단체,서울특별시성동광진교육지원청,5390863,3446211,63.9%
13,교육자치단체,부산광역시교육청,36139393,22730303,62.9%
14,교육자치단체,부산광역시서부교육지원청,8622092,4889576,56.7%
15,교육자치단체,부산광역시남부교육지원청,8242448,5471141,66.4%
16,교육자치단체,부산광역시동래교육지원청,11710670,6999065,59.8%
17,교육자치단체,부산광역시북부교육지원청,11470503,7599849,66.3%
18,교육자치단체,부산광역시해운대교육지원청,11521224,6569761,57.0%
19,교육자치단체,대구광역시교육청,29537648,21811291,73.8%
20,교육자치단체,대구광역시동부교육지원청,8780829,5672590,64.6%
21,교육자치단체,대구광역시서부교육지원청,6606504,4460708,67.5%
22,교육자치단체,대구광역시남부교육지원청,6189944,4046993,65.4%
23,교육자치단체,대구광역시달성교육지원청,3155244,2095085,66.4%
24,교육자치단체,인천광역시교육청,53543385,45542059,85.1%
25,교육자치단체,인천광역시남부교육지원청,6569852,4543921,69.2%
26,교육자치단체,인천광역시북부교육지원청,4434700,3040382,68.6%
27,교육자치단체,인천광역시동부교육지원청,11055715,7616370,68.9%
28,교육자치단체,인천광역시강화교육지원청,868272,535387,61.7%
29,교육자치단체,인천광역시서부교육지원청,10341462,6882193,66.5%
30,교육자치단체,광주광역시교육청,19534347,14829914,75.9%
31,교육자치단체,광주광역시동부교육지원청,9454168,6474673,68.5%
32,교육자치단체,광주광역시서부교육지원청,9457698,6057798,64.1%
33,교육자치단체,대전광역시교육청,20455132,16027094,78.4%
34,교육자치단체,대전광역시동부교육지원청,11690061,7961961,68.1%
35,교육자치단체,대전광역시서부교육지원청,14382465,9569499,66.5%
36,교육자치단체,울산광역시교육청,19038531,14686409,77.1%
37,교육자치단체,울산광역시강북교육지원청,9554907,5069640,53.1%
38,교육자치단체,울산광역시강남교육지원청,8403150,4896728,58.3%
39,교육자치단체,경기도교육청,62348758,37167288,59.6%
40,교육자치단체,경기도수원교육지원청,16882081,13232982,78.4%
41,교육자치단체,경기도성남교육지원청,12588993,8528850,67.7%
42,교육자치단체,경기도의정부교육지원청,7150764,5156206,72.1%
43,교육자치단체,경기도안양과천교육지원청,9198157,6526591,71.0%
44,교육자치단체,경기도부천교육지원청,10937522,8225794,75.2%
45,교육자치단체,경기도광명교육지원청,6148759,4793085,78.0%
46,교육자치단체,경기도동두천양주교육지원청,8203747,6214942,75.8%
47,교육자치단체,경기도안산교육지원청,12003103,9024423,75.2%
48,교육자치단체,경기도고양교육지원청,18504850,13252873,71.6%
49,교육자치단체,경기도평택교육지원청,10008622,7310738,73.0%
50,교육자치단체,경기도군포의왕교육지원청,7811997,5269880,67.5%
51,교육자치단체,경기도구리남양주교육지원청,19231843,13712943,71.3%
52,교육자치단체,경기도여주교육지원청,2636239,1999082,75.8%
53,교육자치단체,경기도화성오산교육지원청,28546984,21464165,75.2%
54,교육자치단체,경기도파주교육지원청,11125594,8050889,72.4%
55,교육자치단체,경기도광주하남교육지원청,15316563,11413283,74.5%
56,교육자치단체,경기도연천교육지원청,1556190,1019314,65.5%
57,교육자치단체,경기도포천교육지원청,3264185,2405232,73.7%
58,교육자치단체,경기도가평교육지원청,1344203,969070,72.1%
59,교육자치단체,경기도양평교육지원청,2202506,1513629,68.7%
60,교육자치단체,경기도이천교육지원청,5366091,4066387,75.8%
61,교육자치단체,경기도용인교육지원청,16612920,12092236,72.8%
62,교육자치단체,경기도안성교육지원청,4463842,3350577,75.1%
63,교육자치단체,경기도김포교육지원청,14126583,10268948,72.7%
64,교육자치단체,경기도시흥교육지원청,13153544,9007038,68.5%
65,교육자치단체,강원도교육청,25384052,16524701,65.1%
66,교육자치단체,강원도춘천교육지원청,7263486,4539907,62.5%
67,교육자치단체,강원도원주교육지원청,12831898,8586116,66.9%
68,교육자치단체,강원도강릉교육지원청,5394195,3997066,74.1%
69,교육자치단체,강원도동해교육지원청,3202311,2149294,67.1%
70,교육자치단체,강원도태백교육지원청,2313906,1454264,62.8%
71,교육자치단체,강원도속초양양교육지원청,5259029,3962520,75.3%
72,교육자치단체,강원도삼척교육지원청,2625201,1609347,61.3%
73,교육자치단체,강원도홍천교육지원청,2167845,1127448,52.0%
74,교육자치단체,강원도횡성교육지원청,1592184,1012620,63.6%
75,교육자치단체,강원도영월교육지원청,2691043,1245575,46.3%
76,교육자치단체,강원도평창교육지원청,2525882,1527366,60.5%
77,교육자치단체,강원도정선교육지원청,2332969,1817902,77.9%
78,교육자치단체,강원도철원교육지원청,1716358,1103533,64.3%
79,교육자치단체,강원도화천교육지원청,1010753,592703,58.6%
80,교육자치단체,강원도양구교육지원청,1359882,848115,62.4%
81,교육자치단체,강원도인제교육지원청,1435881,1150516,80.1%
82,교육자치단체,강원도고성교육지원청,2514186,2062764,82.0%
83,교육자치단체,충청북도교육청,25106114,17928225,71.4%
84,교육자치단체,충청북도청주교육지원청,27846500,20457994,73.5%
85,교육자치단체,충청북도충주교육지원청,9151191,6663170,72.8%
86,교육자치단체,충청북도제천교육지원청,3847217,3027865,78.7%
87,교육자치단체,충청북도보은교육지원청,1413384,840576,59.5%
88,교육자치단체,충청북도옥천교육지원청,2786094,1988510,71.4%
89,교육자치단체,충청북도영동교육지원청,2442670,1893282,77.5%
90,교육자치단체,충청북도진천교육지원청,4409973,3279219,74.4%
91,교육자치단체,충청북도괴산증평교육지원청,2517126,1776648,70.6%
92,교육자치단체,충청북도음성교육지원청,3365396,2645008,78.6%
93,교육자치단체,충청북도단양교육지원청,1659344,1244056,75.0%
94,교육자치단체,충청남도교육청,29490707,23117080,78.4%
95,교육자치단체,충청남도천안교육지원청,14769141,9076543,61.5%
96,교육자치단체,충청남도공주교육지원청,2934170,1881010,64.1%
97,교육자치단체,충청남도보령교육지원청,3262695,1813246,55.6%
98,교육자치단체,충청남도아산교육지원청,8276481,5883682,71.1%
99,교육자치단체,충청남도서산교육지원청,4679650,3263941,69.7%
100,교육자치단체,충청남도금산교육지원청,1715280,1153383,67.2%
101,교육자치단체,충청남도논산계룡교육지원청,3846274,2262226,58.8%
102,교육자치단체,충청남도부여교육지원청,2255741,1742501,77.2%
103,교육자치단체,충청남도서천교육지원청,1384183,863423,62.4%
104,교육자치단체,충청남도청양교육지원청,1352637,772995,57.1%
105,교육자치단체,충청남도홍성교육지원청,2438435,1615137,66.2%
106,교육자치단체,충청남도예산교육지원청,2157433,1527719,70.8%
107,교육자치단체,충청남도태안교육지원청,1841164,1255948,68.2%
108,교육자치단체,충청남도당진교육지원청,5057219,3108142,61.5%
109,교육자치단체,전라북도교육청,28110889,21197973,75.4%
110,교육자치단체,전라북도전주교육지원청,18044803,11963878,66.3%
111,교육자치단체,전라북도군산교육지원청,6480978,4616712,71.2%
112,교육자치단체,전라북도익산교육지원청,7320727,5140124,70.2%
113,교육자치단체,전라북도정읍교육지원청,3981649,2753548,69.2%
114,교육자치단체,전라북도남원교육지원청,1945641,1350501,69.4%
115,교육자치단체,전라북도김제교육지원청,2341844,1419928,60.6%
116,교육자치단체,전라북도완주교육지원청,5473806,3495252,63.9%
117,교육자치단체,전라북도진안교육지원청,1391105,868389,62.4%
118,교육자치단체,전라북도무주교육지원청,745318,451127,60.5%
119,교육자치단체,전라북도장수교육지원청,976564,638433,65.4%
120,교육자치단체,전라북도임실교육지원청,1304068,891638,68.4%
121,교육자치단체,전라북도순창교육지원청,1321539,728862,55.2%
122,교육자치단체,전라북도고창교육지원청,2011928,1382928,68.7%
123,교육자치단체,전라북도부안교육지원청,1752091,1011967,57.8%
124,교육자치단체,전라남도교육청,50730984,30865135,60.8%
125,교육자치단체,전라남도목포교육지원청,7264328,3640418,50.1%
126,교육자치단체,전라남도여수교육지원청,12797915,6486888,50.7%
127,교육자치단체,전라남도순천교육지원청,15879810,9081612,57.2%
128,교육자치단체,전라남도나주교육지원청,7052200,3984181,56.5%
129,교육자치단체,전라남도광양교육지원청,6376504,3558107,55.8%
