순번,대분류명,중분류명,소분류명,총구매액,녹색구매액,구매비율
1,기계/설비,보일러,가스보일러,11825985,11207134,95%
2,기계/설비,수도자재,샤워용품,405554,221658,55%
3,기계/설비,수도자재,소변기,153884,38081,25%
4,기계/설비,수도자재,수도계량기,61255861,49664657,81%
5,기계/설비,수도자재,수도계량기 보호통,18242561,12909415,71%
6,기계/설비,수도자재,수도꼭지 절수부속,434560,211582,49%
7,기계/설비,수도자재,양변기용 부속,336378,336378,100%
8,기계/설비,수도자재,절수형 수도꼭지,2312341,2110619,91%
9,기계/설비,수도자재,절수형 양변기,7851368,6958042,89%
10,기계/설비,일반기계설비,기타 기기,402339,402339,100%
11,기계/설비,일반기계설비,산업용 세척기,5524,5524,100%
12,도로시설/용품,교통표지판(도로안내표),표지판,49981350,15334949,31%
13,도로시설/용품,도로용품,기타 도로용품,29169089,21260422,73%
14,도로시설/용품,흡음판,방음벽 및 방음판,3877526,1757945,45%
15,사무/교육/영상/가전,OA칸막이(파티션),OA칸막이,76449351,47871219,63%
16,사무/교육/영상/가전,가구,기타 가구 및 부속품,21459626,3487441,16%
17,사무/교육/영상/가전,가구,보관용 가구,280139762,135939117,49%
18,사무/교육/영상/가전,가구,의자,232080521,92670985,40%
19,사무/교육/영상/가전,가구,주방가구,10978189,3362905,31%
20,사무/교육/영상/가전,가구,책상(탁자),229332578,120697513,53%
21,사무/교육/영상/가전,가구,침대 및 침대매트리스,28482874,12428867,44%
22,사무/교육/영상/가전,가전제품,공기청정기,2055676,108501,5%
23,사무/교육/영상/가전,가전제품,식기세척기,10072355,2183649,22%
24,사무/교육/영상/가전,가전제품,에어컨디셔너,48680864,11125628,23%
25,사무/교육/영상/가전,가전제품,음식물쓰레기 감량화기,109163,28900,27%
26,사무/교육/영상/가전,가전제품,텔레비전 및 비디오프로젝터,158737156,103072823,65%
27,사무/교육/영상/가전,사무기기,복사기,59295756,53212197,90%
28,사무/교육/영상/가전,사무기기,팩시밀리,1131793,869599,77%
29,사무/교육/영상/가전,일반사무용품,기타 사무용품,16581654,10846837,65%
30,사무/교육/영상/가전,일반사무용품,필기구 및 필기구 소모품,90987,0,0%
31,사무/교육/영상/가전,지류,기타지류,75833,58921,78%
32,사무/교육/영상/가전,지류,사무용지,22241643,10079532,45%
33,사무/교육/영상/가전,지류,인쇄용지,7146925,2741646,38%
34,섬유/고무/위생/여가,개인장구,개인장구,17717892,3268206,18%
35,섬유/고무/위생/여가,개인장구,침구,5710924,286048,5%
36,섬유/고무/위생/여가,위생용품,방향·소취제,709462,263437,37%
37,섬유/고무/위생/여가,위생용품,봉투,126127190,93759184,74%
38,섬유/고무/위생/여가,위생용품,비누,3595926,218322,6%
39,섬유/고무/위생/여가,위생용품,세제 및 세정제,12056202,7680124,64%
40,섬유/고무/위생/여가,위생용품,식품용기,1738035,188528,11%
41,섬유/고무/위생/여가,위생용품,"화장지 및 종이, 에어 타월",19867618,16060437,81%
42,섬유/고무/위생/여가,의류,군용 및 경찰용 의복,708,708,100%
43,섬유/고무/위생/여가,의류,기타 의복,4911310,20571,0%
44,섬유/고무/위생/여가,의류,작업용 의복,37183503,3928996,11%
45,섬유/고무/위생/여가,포장재,기타 포장재료,34634,5963,17%
46,섬유/고무/위생/여가,포장재,포장용기,858382,79074,9%
47,원부자재/기타,기타,기타,26998681,21984727,81%
48,원부자재/기타,토양개량제,토양개량제,13576427,2934071,22%
49,전기/시험/계측,가로등,가로등,115770,115770,100%
50,전기/시험/계측,기타전기자재,기타전기자재,2068107,2068107,100%
51,전기/시험/계측,램프 및 안정기,등기구,374616166,240703287,64%
52,전기/시험/계측,램프 및 안정기,램프용 안정기,4880,4880,100%
53,전기/시험/계측,램프 및 안정기,형광램프,119182187,80797443,68%
54,전기/시험/계측,발전장치,축전지,8783759,5173814,59%
55,전기/시험/계측,전기자재,전선케이블,3981765,3944691,99%
56,전자/정보/통신,개인용컴퓨터,개인용컴퓨터,447211414,396048993,89%
57,전자/정보/통신,기타 소모품,재보충 장치 및 잉크,11636,10315,89%
58,전자/정보/통신,노트북,노트북 컴퓨터,334236831,250592006,75%
59,전자/정보/통신,모니터,컴퓨터용 모니터,99153305,86227357,87%
