환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
1,(주)엘엑스하우시스,107-87-18122,저탄소제품,C-2016-Ⅱ-001,생산재,Z:in wallcovering 베스띠 466C,3.24.E-03,kgSbe/m2,3.10.E-03,1.39.E-04,-,-,4.47.E-01,kgCO2e/m2,4.24.E-01,2.30.E-02,-,-,3.46.E-06,kgCFC-11e/m2,3.46.E-06,6.50.E-10,-,-,1.65.E-03,kgSO2e/m2,1.57.E-03,8.02.E-05,-,-,2.36.E-04,kgPO43-e/m2,2.25.E-04,1.12.E-05,-,-,6.94.E-04,kgC2H4e/m2,6.82.E-04,1.17.E-05,-,-,1.65.E-01,m3H2Oe/m2,9.77.E-02,6.77.E-02,-,-,2019-01-27,2022-01-26,,,,
2,(주)엘엑스하우시스,107-87-18122,저탄소제품,C-2016-Ⅱ-002,생산재,Z:IN Wallcovering 테라피 434C,3.23.E-03,kgSbe/m2,3.08.E-03,1.47.E-04,-,-,4.47.E-01,kgCO2e/m2,4.22.E-01,2.42.E-02,-,-,3.46.E-06,kgCFC-11e/m2,3.46.E-06,6.85.E-10,-,-,1.65.E-03,kgSO2e/m2,1.56.E-03,8.43.E-05,-,-,2.35.E-04,kgPO43-e/m2,2.23.E-04,1.17.E-05,-,-,6.90.E-04,kgC2H4e/m2,6.78.E-04,1.21.E-05,-,-,1.68.E-01,m3H2Oe/m2,1.01.E-01,6.67.E-02,-,-,2019-01-27,2022-01-26,,,,
3,(주)성현퍼라이트,303-81-13534,환경성적,C-2016-Ⅰ-007,생산재,배수용 인공토양[1L],,,,,,,8.71.E+01,gCO2e/L,3.47.E+01,5.24.E+01,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-27,2022-01-26,,,,
4,(주)성현퍼라이트,303-81-13534,환경성적,C-2016-Ⅰ-008,생산재,육성용 인공토양[1L],,,,,,,5.23.E+01,gCO2e/L,2.04.E+01,3.19.E+01,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-27,2022-01-26,,,,
5,(주)케이에스더블유,312-81-34848,환경성적,2019-002,생산재,더레드(THE RED),,,,,,,7.65.E+02,gCO2e/m2,6.25.E+02,1.40.E+02,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
6,(주)케이에스더블유,312-81-34848,환경성적,2019-003,생산재,해피데이(HAPPYDAY),,,,,,,3.32.E+02,gCO2e/m2,2.53.E+02,7.94.E+01,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
7,풀무원샘물(주),301-81-71746,저탄소제품,A-2013-Ⅱ-001,비내구재,풀무원샘물 by NATURE[500mL],1.92.E-03,kgSbe/개,1.75.E-03,1.69.E-04,-,2.65.E-06,7.50.E-02,kgCO2e/개,4.52.E-02,2.57.E-02,-,4.11.E-03,8.90.E-08,kgCFC-11e/개,8.42.E-08,4.67.E-09,-,6.02.E-11,3.83.E-04,kgSO2e/개,2.96.E-04,8.35.E-05,-,3.28.E-06,7.80.E-05,kgPO43-e/개,5.00.E-05,1.41.E-05,-,1.39.E-05,5.45.E-04,kgC2H4e/개,5.14.E-04,2.98.E-05,-,8.03.E-07,1.13.E-03,m3H2Oe/개,7.28.E-04,3.96.E-04,-,2.15.E-06,2019-02-01,2022-01-31,,,,
8,풀무원샘물(주),301-81-71746,저탄소제품,A-2013-Ⅱ-002,비내구재,풀무원샘물 by NATURE[2L],5.92.E-03,kgSbe/개,5.45.E-03,4.62.E-04,-,8.19.E-06,2.15.E-01,kgCO2e/개,1.33.E-01,6.98.E-02,-,1.26.E-02,2.87.E-07,kgCFC-11e/개,2.71.E-07,1.57.E-08,-,1.86.E-10,1.20.E-03,kgSO2e/개,9.39.E-04,2.53.E-04,-,1.03.E-05,2.44.E-04,kgPO43-e/개,1.60.E-04,4.23.E-05,-,4.18.E-05,1.74.E-03,kgC2H4e/개,1.64.E-03,1.00.E-04,-,2.57.E-06,3.85.E-03,m3H2Oe/개,2.70.E-03,1.15.E-03,-,6.70.E-06,2019-02-01,2022-01-31,,,,
9,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(냉간압조용 합금강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
10,(주)포스코,506-81-00017,환경성적,2019-006,생산재,HGI(구조용),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
